date_scraped,source,source_id,ad_url,ad_title,record_id,make_orig,model_orig,model_orig_details,model_orig_variant,price,currency,mileage,mileage_unit,production_year,chassis_no,engine_no,body_no,condition,color_exterior,color_interior,notes,country,region,bodystyle,engine,transmission,drive_type,gears,driver_side,auction_house,auction_event,fuel,kw,hp,cylinders_volume,cylinders_number,seats,doors,weight,options
,,OR89,https://www.autoscout24.com/offers/ferrari-f430-ceramic-brakes-carbon-seats-roll-cage-gasoline-red-8b969b68-ee77-4f38-9c1b-5b17d9468d05,Ferrari F430 *** CERAMIC BRAKES / CARBON SEATS / ROLL CAGE ***,,ferrari,f430,,,134950,,"28,783 km",,03/2005,,,,Used,ROSSO SCUDERIA 323,Full leather,Yes,Belgium,,Coupe,,Automatic,Rear,6,,,,,360 kW (489 hp),489,"4,308 cc",8,2,2,"1,450 kg",Alloy wheelsShift paddlesSpoilerSport packageSport seatsSport suspension
,,,https://www.autoscout24.com/offers/lotus-elise-elise-1-8i-s-gasoline-grey-d4008d74-70ad-4ca2-acae-976fc21116f4,Lotus Elise Elise+1.8i+S,,lotus,elise,,,28000,,"59,500 km",,01/2005,,,,Used,Grey,Full leather,Metallic,,,Convertible,,Manual,Rear,5,,,,,116 kW (158 hp),158,"1,796 cc",4,2,2,806 kg,Alloy wheelsCatalytic ConverterRight hand driveSport seatsSport suspensionSummer tyres
,,1971pantera,https://www.autoscout24.com/offers/de-tomaso-pantera-v8-gasoline-e0159507-d509-4dff-8c41-4c03509d4972,De Tomaso Pantera v8,,de tomaso,pantera,,,102020,,"48,299 km",,01/1971,,,,Antique / Classic,,,,,,Other,,Manual,,,,,,,,,,,,,,
,,1972volvop1800e,https://www.autoscout24.com/offers/volvo-p1800-p1800e-gasoline-fc67639b-97de-4e10-ad1e-fd2d0de2197d,Volvo P1800 p1800e,,volvo,p1800,,,25870,,"88,472 km",,01/1972,,,,Antique / Classic,,,,,,Other,,Manual,,,,,,,,,,,,,,
,,1974porsche911look,https://www.autoscout24.com/offers/porsche-911-targa-911s-gasoline-d4472e8f-246f-4994-a7ad-2436581efb0b,Porsche 911 targa 911S,,porsche,911,,,52250,,"59,883 km",,01/1974,,,,Antique / Classic,,,,,,Other,,Manual,,,,,,,,,,,,,,Spare tyre
,,,https://www.autoscout24.com/offers/subaru-impreza-gt-218cv-gasoline-silver-cf4d4bd5-e10c-4b4c-97e9-40e612e76d27,Subaru Impreza GT 218cv,,subaru,impreza,,,30000,,"215,000 km",,08/1999,,,,Used,Silver,Cloth,Metallic,,,Sedan,,Manual,4WD,5,,,,,160 kW (218 hp),218,"1,994 cc",4,5,4,"1,350 kg",Alloy wheelsHeadlight washer systemSpare tyreSpoilerSummer tyresWinter tyres
,,,https://www.autoscout24.com/offers/triumph-tr6-gasoline-white-f380a306-00a2-4471-a16f-59516f015c65,Triumph TR6,,triumph,tr6,,,23000,,"77,500 km",,09/1970,,,,Used,White,Black,,,,Convertible,,,,,,,,,76 kW (103 hp),103,,,2,2,,
,,,https://www.autoscout24.com/offers/porsche-996-cabrio-3-6-carrera-4s-manuale-only-82k-km-gasoline-grey-b63961d8-7acf-4b78-829a-3d22cd606cab,Porsche 996 Cabrio 3.6 Carrera 4S - MANUALE - ONLY 82k km,,porsche,996,,,62996,,"82,000 km",,01/2004,,,,Used,Grey,Full leather,Metallic,,,Convertible,,Manual,4WD,6,,,,,235 kW (320 hp),320,"3,596 cc",6,4,2,"1,565 kg","Alloy wheels (18"")Emergency tyreHeadlight washer systemSpoilerSport packageSport seatsSport suspension"
,,,https://www.autoscout24.com/offers/rolls-royce-corniche-gasoline-gold-0f994532-fb4c-476d-8203-32453123e63c,Rolls-Royce Corniche,,rolls-royce,corniche,,,99900,,"18,340 km",,12/1979,,,,Used,Gold,Full leather,Metallic,,,Convertible,,Automatic,Rear,,,,,,160 kW (218 hp),218,,8,4,2,,All season tyres
,,,https://www.autoscout24.com/offers/volkswagen-t3-caravelle-t3-multivan-caravelle-sy-c-255-597-diesel-red-5617c254-ae8e-4345-aeb0-dcea5e8534b0,Volkswagen T3 Caravelle T3/MULTIVAN/CARAVELLE Sy.C 255 597,,volkswagen,t3 caravelle,,,34999,,"304,568 km",,10/1992,,,,Used,Red,Cloth,Others,,,Van,,Manual,4WD,4,,,,,51 kW (69 hp),69,"1,588 cc",4,4,3,"1,710 kg",Sliding doorSmoker's packageSpare tyreTrailer hitchWinter tyres
